Modelo,Temperatura,Accuracy,F1-Score,Precision,Recall,Tempo de Execucao Total (s)
gemini-2.0-flash-lite,0.0,0.6255,0.6550,0.7855,0.6255,345.6831
gemini-2.0-flash-lite,0.5,0.6164,0.6455,0.7878,0.6164,327.7251
gemini-2.0-flash-lite,1.0,0.6036,0.6416,0.7756,0.6036,390.7405
gemini-2.0-flash,0.0,0.6618,0.6998,0.8048,0.6618,284.7549
gemini-2.0-flash,0.5,0.6527,0.6894,0.7955,0.6527,284.4708
gemini-2.0-flash,1.0,0.6364,0.6731,0.8715,0.6364,324.4751
gemini-2.5-flash,0.0,0.7218,0.7630,0.8869,0.7218,1321.9777
gemini-2.5-flash,0.5,0.7091,0.7603,0.8868,0.7091,1287.5497
gemini-2.5-flash,1.0,0.7200,0.7577,0.8934,0.7200,1377.5426
gemini-2.5-pro,0.0,0.7345,0.7727,0.8700,0.7345,2174.6835
gemini-2.5-pro,0.5,0.7200,0.7706,0.8952,0.7200,2220.2867
gemini-2.5-pro,1.0,0.7200,0.7613,0.8647,0.7200,2319.1073
gemma3_12b,0.0,0.6091,0.6330,0.7473,0.6091,709.2855
gemma3_12b,0.5,0.6091,0.6322,0.7473,0.6091,523.5871
gemma3_12b,1.0,0.6018,0.6283,0.7468,0.6018,527.9554
gemma3_27b,0.0,0.6273,0.6409,0.8508,0.6273,773.6626
gemma3_27b,0.5,0.6236,0.6390,0.8461,0.6236,775.6073
gemma3_27b,1.0,0.6164,0.6323,0.8475,0.6164,779.5236
gemma3_4b,0.0,0.4818,0.4927,0.6038,0.4818,375.7124
gemma3_4b,0.5,0.4764,0.4922,0.6885,0.4764,379.3577
gemma3_4b,1.0,0.4764,0.4884,0.5957,0.4764,374.2509
llava_13b,0.0,0.3709,0.3631,0.5040,0.3709,401.9998
llava_13b,0.5,0.3618,0.3626,0.4008,0.3618,390.3893
llava_13b,1.0,0.2945,0.3274,0.4736,0.2945,365.7428
llava_7b,0.0,0.5327,0.4996,0.4837,0.5327,232.7451
llava_7b,0.5,0.5200,0.4944,0.4845,0.5200,240.9652
llava_7b,1.0,0.4436,0.4534,0.4825,0.4436,254.7483
qwen2.5_14b,0.0,0.5473,0.5138,0.4912,0.5473,542.7208
qwen2.5_14b,0.5,0.5545,0.5299,0.6673,0.5545,554.2775
qwen2.5_14b,1.0,0.5564,0.5518,0.6411,0.5564,572.5274
qwen2.5_32b,0.0,0.5527,0.5364,0.5817,0.5527,941.3632
qwen2.5_32b,0.5,0.4709,0.5123,0.7413,0.4709,915.7221
qwen2.5_32b,1.0,0.3655,0.4511,0.7297,0.3655,892.3141
qwen2.5_7b,0.0,0.5545,0.5277,0.5184,0.5545,258.8703
qwen2.5_7b,0.5,0.4564,0.5023,0.7484,0.4564,273.5625
qwen2.5_7b,1.0,0.4309,0.4883,0.7080,0.4309,292.7107
